codigo;producto;picking;reposicion
50664;MOCHILA PORTANOTEBOOK WELLINGTON POLO CLUB 50664 GRIS;;
26554;SET VALIJA X2 26554;;
;SET DE BAÑO TRENDY 10431 NEGRO;;
10429;SET DE BAÑO TRENDY 10429 NEGRO;;2117
10431B;SET DE BAÑO TRENDY 1042 BLANCO;;
10428;SET DE BAÑO TRENDY 10428 BLANCO;;
;DISPENSER DE JABON  4913763 BY KANDEL;;
4623443;SET DE BAÑO BY KANDEL 4623443;;
4623458;SET DE BAÑO BY KANDEL 46234585;;
11452N;TOALLA FRIA 11452/11300 NEGRO;;
11452G;TOALLA FRIA 11452/11300 GRIS;;
11452A;TOALLA FRIA 11452;;
11452;TOALLA FRIA 11452;;
11451N;TOALLA FRIA 11451/11301 NEGRO;;
11451A;TOALLA FRIA 11451/11301 AZUL;;
11451G;TOALLA FRIA 11451/11301 GRIS;;
11451R;TOALLA FRIA 11451/11301 ROSA;;
10422V;SET DE BAÑO TRENDY 10422;;
10422G;SET DE BAÑO TRENDY 10422 GRIS;;
10422R;SET DE BAÑO TRENDY 10422 ROSA;;
10422L;SET DE BAÑO TRENDY 10422 LILA;;
10423L;SET DE BAÑO TRENDY 10423 LILA;3;
11527N;ORGANIZADOR BEAUTY TRENSY SET X2 11527 NEGRO;;
11527P;ORGANIZADOR BEAUTY TRENSY SET X2 11527 PLATA;;
3597A;CARTERA TRENDY 3597 AZUL;;
3597N;CARTERA TRENDY 3597 NEGRO;;
3597K;CARTERA TRENDY 3597 KAKY;;
3597R;CARTERA  TRENDY 3597 ROJO;;
11630;ORGANIZADOR TRENDY 11630;;
11631;ORGANIZADOR TRENDY 11631;;
11626;ORGANIZADOR TRENDY 11626;;
11644;ORGANIZADOR TRENDY 11644;;
4624683M;BOWL ESCURRIDOR MARRÓN;;
4624683C;BOWL ESCURRIDOR CREMA;;
11632B;ORGANIZADOR TRENDY 11632 BLANCO;;
11632C;ORGANIZADOR TRENDY 11632 CREMA;;
11632V;ORGANIZADOR TRENDY 11632 VERDE;;
20773N;MORRAL LAS OREIRO 20773 NEGRO;;
20773K;MORRAL LAS OREIRO 20773 KAKI;;
11900M;MOCHILA TRENDY 11900 MARRON CLARO;;
11900N;MOCHILA TRENDY 11900 NEGRO;;
11900A;MOCHILA TRENDY 11900 AZUL MARINO;;
11900R;MOCHILA TRENDY 11900 ROSA CLARO;;
11904M;MOCHILA TRENDY 11904 MARRON CLARO;;
11904N;MOCHILA TRENDY 11904 NEGRO;;
11904A;MOCHILA TRENDY 11904 AZUL MARINO;;
11904R;MOCHILA TRENDY 11904 ROSA CLARO;;
50670N;RIÑONERA PEYTON 50670 NEGRO;;
50670A;RIÑONERA PEYTON 50670 AZUL;;
50670G;RIÑONERA PEYTON 50670 GRIS;;
50672N;RIÑONERA PEYTON 50672 NEGRO;;
50672G;RIÑONERA PEYTON 50672 GRIS;;
50672A;RIÑONERA PEYTON 50672 AZUL;;
50686G;RIÑONERA CAMUFLAJE PEYTON 50686 GRIS;;
50686V;RIÑONERA CAMUFLAJE PEYTON 50686 VERDE;;
50684N;RIÑONERA PEYTON 50684 NEGRO;;
50684A;RIÑONERA PEYTON 50684 AZUL;;
20943A;RIÑONERA EVERLAST 20943 AZUL;62-A TRANSFERENCIA;
20943G;RIÑONERA EVERLAST 20943 GRIS;62-A TRANSFERENCIA;
20944GA;RIÑONERA EVERLAST 20944 GRIS CON AZUL;;
20944GN;RIÑONERA EVERLAST 20944 GRIS CON NEGRO;;
20947A;RIÑONERA EVERLAST 20947 AZUL;;
20947N;RIÑONERA EVERLAST 20947 NEGRO;;
20948A;RIÑONERA EVERLAST 20948 AZUL;;
20948N;RIÑONERA EVERLAST 20948 NEGRO;;
20953A;RIÑONERA HEAD 20953 AZUL;;
20953G;RIÑONERA HEAD 20953 GRIS;;
20955GR;RIÑONERA HEAD 20955 GRIS CON ROJO;93;
20955AN;RIÑONERA HEAD 20955 AZUL CON NARANJA;93;
20956A;RIÑONERA HEAD 20956 AZUL;;
20956N;RIÑONERA HEAD 20956 NEGRO;;
26795A;RIÑONERA HEAD 26795 AZUL;;
26795N;RIÑONERA HEAD 26795 NEGRO;;
PT01;POP IT AMONG US PT01;;
PT02;POP IT CÍRCULO PT02;;
PT03;POP IT CORAZÓN PT03;;
PT04;POP IT OCTÁGONO TUERCA PT04;;
12446;TENDER ALUMINIO REFORZADO 12446;;
12447;TENDER ALUMINIO REFORZADO 12447;;
20946G;RIÑONERA EVERLAST 20946 GRIS;;
20946V;RIÑONERA EVERLAST 20946 VERDE;;
20949A;RIÑONERA EVERLAST 20949 AZUL;;
20949N;RIÑONERA EVERLAST 20949 NEGRO;;
50674N;RIÑONERA PEYTON 50674 NEGRO;;
50674A;RIÑONERA PEYTON 50674 AZUL;;
50674R;RIÑONERA PEYTON 50674 ROJO;;
26793G;RIÑONERA CAMUFLADA EVERLAST 26793 CAMUFLADO GRIS;91;
26793A;RIÑONERA CAMUFLADA EVERLAST 26793 CAMUFLADO AZUL;;
26797G;RIÑONERA HEAD 26797 GRIS;;
26797N;RIÑONERA HEAD 26797 NEGRO;;
26801N;RIÑONERA HEAD 26801 NEGRO;;
26801A;RIÑONERA HEAD 26801 AZUL;;
26804N;RIÑONERA EVERLAST 26804 NEGRO;;
26804G;RIÑONERA EVERLAST 26804 GRIS;;
26790N;RIÑONERA EVERLAST 26790 NEGRO;19B;
26790R;RIÑONERA EVERLAST 26790 ROJO;;
26435;SET DE VALIJA DISCOVERY 26435;;
26428;SET DE VALIJA TRAVEL TECH 26428;;
26427;SET DE VALIJA TRAVEL TECH 26427;;
26429;SET DE VALIJA TRAVEL TECH 26429;;
11918;YOGA BALL 11918;;
11925;YOGA BALL 11925;;
11924;YOGA BALL 11924;;
11919;YOGA BALL 11919;;
11917;YOGA BALL 11917;;
11922;YOGA BALL 11922;;
11923;YOGA BALL 11923;;
11921;YOGA BALL 11921;;
11920;YOGA BALL 11920;;
26768-13958;SECAPLATOS 26768-13958;;
26767;SECAPLATOS 26767;;
853661;PISTA LED 68 PCS 853661;;
843286;AUTO A CONTROL MIRAGE 843286;;
808699;AUTO A CONTROL COOL WIND 808699;;
881362;AUTO A CONTROL POLICIA 881362;;
11600F;RIÑONERA DEPORTIVA EVERLAST 11600 FUCSIA;5;
11600R;RIÑONERA DEPORTIVA EVERLAST 11600 ROJO;;
11600A;RIÑONERA DEPORTIVA EVERLAST 11600 AZUL;;
11600N;RIÑONERA DEPORTIVA EVERLAST 11600 NEGRO;;
11648;ORGANIZADOR DE OFICINA TRENDY 11648;;
11627;ORGANIZADOR TRENDY 11627;;
11625;ORGANIZADOR TRENDY 11625;;
11628;ORGANIZADOR TRENDY 11628;;
11635;ORGANIZADOR TRENDY 11635;;
11629;ORGANIZADOR TRENDY 11629;;
11636;ORGANIZADOR TRENDY 11636;;
11638;ORGANIZADOR TRENDY 11638;;
11637;ORGANIZADOR 11637;;
11624;ORGANIZADOR TRENDY 11624;;
20787B;MORRAL LAS OREIRO 20787 BONE;;
20787N;MORRAL LAS OREIRO 20787 NEGRO;;
20794N;MORRAL LAS OREIRO 20794 NEGRO;;
20794B;MORRAL LAS OREIRO 20794 BONE;;
20712N;MOCHILA INA MURAKAMI 20712 NEGRO;;
20712K;MOCHILA INA MURAKAMI 20712 KAKI;;
20712S;MOCHILA INA MURAKAMI 20712 SUELA;;
20714N;MOCHILA INA MURAKAMI 20714 NEGRO;;
20714K;MOCHILA INA MURAKAMI 20714 KAKI;;
20714R;MOCHILA INA MURAKAMI 20714 ROSA;;
20716N;MOCHILA INA MURAKAMI 20716 NEGRO;;
20716R;MOCHILA INA MURAKAMI 20716 ROSA;;
20716C;MOCHILA INA MURAKAMI 20716 CREMA;;
11906M;MOCHILA TRENDY 11906 MARRON CLARO;;
11906N;MOCHILA TRENDY 11906 NEGRO;;
11906A;MOCHILA TRENDY 11906 AZUL MARINO;;
11906R;MOCHILA TRENDY 11906 ROSA CLARO;;
20957A;RIÑONERA HEAD 20957 AZUL;;
20957N;RIÑONERA HEAD 20957 NEGRO;;
20781NR;MOCHILA LAS OREIRO 20781 NEGRO CON ROJO;;
20781NP;MOCHILA LASOREIRO 20781 NEGRO CON PLATA;;
26791A;RIÑONERA EVERLAST 26791 AZUL;91;
26791N;RIÑONERA EVERLAST 26791 NEGRO;91;
26798R;RIÑONERA HEAD 26798 ROJO;;
26798N;RIÑONERA HEAD 26798 NEGRO;;
11859R;GORRA TRENDY 11859 ROSA;;
11859RP;GORRA TRENDY 11859 ROSA FLUO Y PLATEADO ;;
11862R;GORRA TRENDY 11862 ROSA;;
11862NP;GORRA TRENDY 11862 NEGRO Y PLATEADO;;
11524D;ORGANIZADOR BEAUTY TRENDY 11524 DORADO;;
11524B;ORGANIZADOR BEAUTY TRENDY 11524 BLANCO;;
11531D;ORGANIZADOR BEAUTY TRENDY 11531 DORADO;;
11531P;ORGANIZADOR BEAUTY TRENDY 11531 PLATA;;
ACC18;RIÑONERA AGARRATE CATALINA ACC18 ROJO;;
ACC35N;RIÑONERA AGARRATE CATALINA ACC35 NEGRO;;
ACC35RJ;RIÑONERA AGARRATE CATALINA ACC35 ROJO;;
ACC35RS;RIÑONERA AGARRATE CATALINA ACC35 ROSA;;
ACC34RS;MORRAL AGARRATE CATALINA ACC34 ROSA;;
ACC34N;MORRAL AGARRATE CATALINA ACC34 NEGRO;;
ACC34 RJ;MORRAL AGARRATE CATALINA ACC34 ROJO ;;
ACC15N;MOCHILA AGARRATE CATALINA ACC15 NEGRO;;
ACC15R;MOCHILA AGARRATE CATALINA ACC15 ROJO;;
20945G;RIÑONERA EVERLAST 20945 GRIS;;
20945N;RIÑONERA EVERLAST 20945 NEGRO;;
20954V;RIÑONERA HEAD 20954 VERDE;;
20954N;RIÑONERA HEAD 20954 NEGRO;;
20791;MORRAL LAS OREIRO 20791 NEGRO;;
20799NR;BILLETERA LAS OREIRO 20799 NEGRO CON ROJO;;
20799NB;BILLETERA LAS OREIRO 20799 NEGRO CON BLANCO;;
20800NR;BILLETERA LAS OREIRO 20800 NEGRO CON ROJO;;
20800NB;BILLETERA LAS OREIRO 20800 NEGRO CON BLANCO;;
20801N;BILLETERA LAS OREIRO 20801 NEGRO;;
20801S;BILLETERA LAS OREIRO 20801 SUELA;;
20802N;BILLETERA LAS OREIRO 20802 NEGRO;;
20803N;BILLETERA LAS OREIRO 20803 NEGRO;;
20803K;BILLETERA LAS OREIRO 20803 KAKI;;
20804N;BILLETERA LAS OREIRO 20804 NEGRO;;
20804K;BILLETERA LAS OREIRO 20804 KAKI;;
20807N;BILLETERA LAS OREIRO 20807 NEGRO;;
20807K;BILLETERA LAS OREIRO 20807 KAKI;;
20808N;BILLETERA LAS OREIRO 20808 NEGRO;;
20808K;BILLETERA LAS OREIRO 20808 KAKI;;
20951N;RIÑONERA HEAD 20951 NEGRO;;
20951A;RIÑONERA HEAD 20951 AZUL;;
20952N;RIÑONERA HEAD 20952 NEGRO;;
20952R;RIÑONERA HEAD 20952 ROJO;;
20809;BILLETERA LAS OREIRO 20809 NEGRO;;
20805;BILLETERA LAS OREIRO 20805 NEGRO;;
12448;TENDER ALUMINIO REFORZADO 12448;;
20927N;MORRAL TRENDY 20927 NEGRO;;
20927P;MORRAL TRENDY 20927 PLATA ;;
20938N;MORRAL TRENDY 20938 NEGRO;;
20938S;MORRAL TRENDY 20938 SUELA;;
50671G;RIÑONERA PEYTON 50671 GRIS;;
50671A;RIÑONERA PEYTON 50671 AZUL;;
50671R;RIÑONERA PEYTON 50671 ROJO;;
50673N;RIÑONERA PEYTON 50673 NEGRO;;
50673A;RIÑONERA PEYTON 50673 AZUL;;
50673R;RIÑONERA PEYTON 50673 ROJO;;
50675N;RIÑONERA PEYTON 50675 NEGRO;;
50675A;RIÑONERA PEYTON 50675 AZUL;;
50675G;RIÑONERA PEYTON 50675 GRIS;;
50685N;RIÑONERA PEYTON 50685 NEGRO;;
26451;VALIJA DISCOVERY 26451;;
26556;SET DE VALIJA HEAD 26556;;
26552;SET DE VALIJA HEAD 26552;;
26450;SET DE VALIJAS DICOVERY 26450;;
26456;VALIJA DISCOVERY 26456;;
26464;VALIJA DISCOVERY 26464;;
11525N;ORGANIZADOR BEAUTY TRENDY 11525 NEGRO;;
11525C;ORGANIZADOR BEAUTY TRENDY 11525 CREMA;;
11526P;ORGANIZADOR BEAUTY TRENDY SET X2  11526 PLATA;;
11526R;ORGANIZADOR BEAUTY TRENDY  SET X2  11526 ROSA;;
11528N;ORGANIZADOR BEAUTY TRENDY 11528 NEGRO;;
11528P;ORGANIZADOR BEAUTY TRENDY 11528 GRIS PLATA;;
11529B;ORGANIZADOR BEAUTY TRENDY 11529 BLANCO;;
11529R;ORGANIZADOR BEAUTY TRENDY 11529 ROSA;;
11534R;ORGANIZADOR BEAUTY TRENDY SET X2 11534 ROSA;;
11534P;ORGANIZADOR BEAUTY TRENDY SET X2 11534 PLATA ;;
11536B;ORGANIZADOR BEAUTY TRENDY SET X2 11536 BLANCO;;
11536L;ORGANIZADOR BEAUTY TRENDY SET X2 11536 LILA;;
11286;PELOTERO INFANTIL 11286;;
11294;GIMNASIO INFANTIL 11294;;
451353;CUNERO INFANTIL 451353;;
881046;JUEGO DE MESA PLUNK;;
11573;CUBRE VALIJAS LAS OREIRO 24KG 11573;;
12389;SOGA DE SALTAR 12389;;
11003N;GORRA EVERLAST 11003 NEGRO;;
11003G;GORRA EVERLAST 11003 GRIS;;
11014NR;GORRA EVERLAST 11014 NEGRO CON ROJO;;
11014NB;GORRA EVERLAST 11014 NEGRO CON BEIGE;;
10993A;GORRA EVERLAST 10993 AZUL;;
10993N;GORRA EVERLAST 10993 NEGRO;;
10997N;GORRA EVERLAST 10997 NEGRO;;
11013N;GORRA EVERLAST 11013 NEGRO;;
11015N;GORRA EVERLAST 11015 NEGRO;;
11015M;GORRA EVERLAST 11015 MARRON CON AZUL;;
11002N;GORRA EVERLAST 11002 NEGRO;;
11002A;GORRA EVERLAST 11002 AZUL;;
10994N;GORRA EVERLAST 10994 NEGRO;;
10994R;GORRA EVERLAST 10994 ROJO;;
11012VB;GORRA EVERLAST 11012 VERDE CON BEIGE;;
11012NB;GORRA EVERLAST 11012 NEGRO CON BEIGE;;
10999N;GORRA EVERLAST 10999 NEGRO;;
10999B;GORRA EVERLAST 10999 BEIGE;;
11009N;GORRA EVERLAST 11009 NEGRO;;
11009A;GORRA EVERLAST 11009 AZUL;;
12358AN;GORRA CAP EVERLAST 12358 AZUL CON NEGRO;;
6203N;PARAGUA WPC 6203 NEGRO;;
6203A;PARAGUA WPC 6203 AZUL;;
6203G;PARAGUA WPC 6203 GRIS;;
6182;PARAGUA PIERRE CARDIN 6182 NEGRO;;
6184 N;PARAGUAS PIERRE CARDIN NEGRO;61;
6184A;PARAGUAS PIERRE CARDIN6184 AZUL;61;
6184R;PARAGUAS PIERRE CARDIN 6184  ROSA;61;
6184M;PARAGUAS PIERRE CARDIN 6184 MARRON;61;
6213N;PARAGUAS LAS OREIROS6213 NEGRO;61;
6213R;PARAGUAS LAS OREIROS6213 ROSA;61;
6213F;PARAGUAS LAS OREIROS 6213 FUCCIA;61;
6119A;PARAGUAS MIS UNIQUE 6119 AZUL;61;
6119AQ;PARAGUAS MIS UNIQUE 6119 AQUA;61;
6119F;PARAGUAS MIS UNIQUE 6119 FUCCIA;61;
11717NG;MOCHILA RUNING EVERLAST 11717 NEGRO CON GRIS;;
11717GR;MOCHILA RUNING EVERLAST 11717 GRIS CON ROSA;;
11717RG;MOCHILA RUNING EVERLAST 11717 ROJO CON GRIS;;
11717AA;MOCHILA RUNING EVERLAST 11717 AZUL CON AZUL;;
11718GV;MOCHILA RUNING EVERLAST 11718 GRIS CON VERDE;;
11718NR;MOCHILA RUNING EVERLAST 11718 NEGRO CON ROJO;;
11718AN;MOCHILA RUNING EVERLAST 11718 AZUL CON NARANJA;;
50660N;MOCHILA WELLINGTON POLO CLUB 50660 NEGRO ;;
50660NR;MOCHILA WELLINGTON POLO CLUB 50660 NEGRO CON ROJO;;
50660NA;MOCHILA WELLINGTON POLO CLUB 50660 NEGRO CON AZUL ;;
12361G;GORRA CAP EVERLAST 12361 CAMUFLAGEADA GRIS;;
12361V;GORRA CAP EVERLAST 12361 CAMUFLAGEADA VERDE;;
12353V;GORRA CAP EVERLAST 12353 VERDE;;
12353N;GORRA CAP EVERLAST 12353 NEGRO;;
12351G;GORRA CAP EVERLAST 12351 GRIS;;
12351N;GORRA CAP EVERLAST 12351 NEGRO;;
12362V;GORRA CAP EVERLAST 12362 VERDE;;
12362G;GORRA CAP EVERLAST 12362 GRIS;;
12346R;GORRA CAP EVERLAST 12346 ROSA;;
12346N;GORRA CAP EVERLAST 12346 NEGRO;;
